antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str,rule_str
"frozenset({'HERB MARKER PARSLEY', 'HERB MARKER ROSEMARY'})",frozenset({'HERB MARKER THYME'}),0.011487873910871858,0.012764304345413174,0.010932904156723459,0.9516908212560387,74.55876916614157,1.0,0.010786269437843358,20.43577890004995,0.9980532715639145,0.8208333333333333,0.9510662155383979,0.9041062801932367,"HERB MARKER PARSLEY, HERB MARKER ROSEMARY",HERB MARKER THYME,"HERB MARKER PARSLEY, HERB MARKER ROSEMARY → HERB MARKER THYME"
"frozenset({'HERB MARKER MINT', 'HERB MARKER THYME'})",frozenset({'HERB MARKER ROSEMARY'}),0.011099395082967978,0.012819801320828016,0.010599922304234418,0.955,74.4941341991342,1.0,0.010457630264489393,21.937337748426025,0.9976494294430704,0.7958333333333332,0.9544156172700696,0.8909199134199133,"HERB MARKER MINT, HERB MARKER THYME",HERB MARKER ROSEMARY,"HERB MARKER MINT, HERB MARKER THYME → HERB MARKER ROSEMARY"
"frozenset({'HERB MARKER MINT', 'HERB MARKER THYME'})",frozenset({'HERB MARKER PARSLEY'}),0.011099395082967978,0.012653310394583495,0.0104334313779899,0.9400000000000001,74.28885964912281,1.0,0.010292987286812992,16.45577816009029,0.9976119203384386,0.7833333333333334,0.9392310718902817,0.882280701754386,"HERB MARKER MINT, HERB MARKER THYME",HERB MARKER PARSLEY,"HERB MARKER MINT, HERB MARKER THYME → HERB MARKER PARSLEY"
"frozenset({'HERB MARKER PARSLEY', 'HERB MARKER THYME'})",frozenset({'HERB MARKER ROSEMARY'}),0.011487873910871858,0.012819801320828016,0.010932904156723459,0.9516908212560387,74.2360039316561,1.0,0.010785631895587358,20.434630112658862,0.9979942797931242,0.817427385892116,0.9510634645948145,0.9022523370349458,"HERB MARKER PARSLEY, HERB MARKER THYME",HERB MARKER ROSEMARY,"HERB MARKER PARSLEY, HERB MARKER THYME → HERB MARKER ROSEMARY"
"frozenset({'HERB MARKER BASIL', 'HERB MARKER THYME'})",frozenset({'HERB MARKER ROSEMARY'}),0.011265886009212498,0.012819801320828016,0.0107109162550641,0.9507389162561576,74.16175122086452,1.0,0.010566489834722899,20.03975803318717,0.9977565720747026,0.8008298755186721,0.9500991978873231,0.8931183758769965,"HERB MARKER BASIL, HERB MARKER THYME",HERB MARKER ROSEMARY,"HERB MARKER BASIL, HERB MARKER THYME → HERB MARKER ROSEMARY"
"frozenset({'HERB MARKER ROSEMARY', 'HERB MARKER BASIL'})",frozenset({'HERB MARKER THYME'}),0.011432376935457018,0.012764304345413174,0.0107109162550641,0.9368932038834951,73.39947235120303,1.0,0.010564989916468443,15.643888715757278,0.997782954697172,0.7942386831275721,0.9360772747639945,0.888011819333052,"HERB MARKER BASIL, HERB MARKER ROSEMARY",HERB MARKER THYME,"HERB MARKER BASIL, HERB MARKER ROSEMARY → HERB MARKER THYME"
"frozenset({'HERB MARKER ROSEMARY', 'HERB MARKER MINT'})",frozenset({'HERB MARKER THYME'}),0.011376879960042177,0.012764304345413174,0.010599922304234418,0.9317073170731707,72.99319194061506,1.0,0.010454704345923207,14.455951257799294,0.9976502392082937,0.7827868852459016,0.9308243378684278,0.8810710498409331,"HERB MARKER MINT, HERB MARKER ROSEMARY",HERB MARKER THYME,"HERB MARKER MINT, HERB MARKER ROSEMARY → HERB MARKER THYME"
"frozenset({'HERB MARKER ROSEMARY', 'HERB MARKER MINT'})",frozenset({'HERB MARKER PARSLEY'}),0.011376879960042177,0.012653310394583495,0.01048892835340474,0.9219512195121952,72.86245186136073,1.0,0.010344973159948409,12.650379460569406,0.9976253740147308,0.7745901639344263,0.9209509878247566,0.8754492939666239,"HERB MARKER MINT, HERB MARKER ROSEMARY",HERB MARKER PARSLEY,"HERB MARKER MINT, HERB MARKER ROSEMARY → HERB MARKER PARSLEY"
"frozenset({'HERB MARKER BASIL', 'HERB MARKER THYME'})",frozenset({'HERB MARKER PARSLEY'}),0.011265886009212498,0.012653310394583495,0.01037793440257506,0.9211822660098522,72.80168092645407,1.0,0.010235383650030499,12.52696112436872,0.9975017949376754,0.7663934426229508,0.92017217982303,0.8706788523031717,"HERB MARKER BASIL, HERB MARKER THYME",HERB MARKER PARSLEY,"HERB MARKER BASIL, HERB MARKER THYME → HERB MARKER PARSLEY"
frozenset({'HERB MARKER CHIVES '}),frozenset({'HERB MARKER PARSLEY'}),0.011265886009212498,0.012653310394583495,0.01037793440257506,0.9211822660098522,72.80168092645407,1.0,0.010235383650030499,12.52696112436872,0.9975017949376754,0.7663934426229508,0.92017217982303,0.8706788523031717,HERB MARKER CHIVES ,HERB MARKER PARSLEY,HERB MARKER CHIVES  → HERB MARKER PARSLEY
frozenset({'HERB MARKER PARSLEY'}),frozenset({'HERB MARKER CHIVES '}),0.012653310394583495,0.011265886009212498,0.01037793440257506,0.8201754385964912,72.80168092645407,1.0,0.010235383650030499,5.498326292436574,0.9989034893266048,0.7663934426229508,0.8181264721637952,0.8706788523031717,HERB MARKER PARSLEY,HERB MARKER CHIVES ,HERB MARKER PARSLEY → HERB MARKER CHIVES 
"frozenset({'HERB MARKER ROSEMARY', 'HERB MARKER THYME'})",frozenset({'HERB MARKER PARSLEY'}),0.011876352738775737,0.012653310394583495,0.010932904156723459,0.9205607476635514,72.75256189539269,1.0,0.010782628979164167,12.428952445621132,0.9981086702104154,0.8040816326530612,0.919542696427943,0.8922979176914249,"HERB MARKER ROSEMARY, HERB MARKER THYME",HERB MARKER PARSLEY,"HERB MARKER ROSEMARY, HERB MARKER THYME → HERB MARKER PARSLEY"
frozenset({'HERB MARKER THYME'}),frozenset({'HERB MARKER ROSEMARY'}),0.012764304345413174,0.012819801320828016,0.011876352738775737,0.9304347826086957,72.57794089968003,1.0,0.011712716893068957,14.190715356013111,0.9989729030278608,0.8663967611336032,0.929531389016533,0.928420854507811,HERB MARKER THYME,HERB MARKER ROSEMARY,HERB MARKER THYME → HERB MARKER ROSEMARY
